h11,log10_mass_over_Mpl_median_mean,log10_mass_over_Mpl_median_std,log10_f_over_Mpl_median_mean,log10_f_over_Mpl_median_std,log10_coupling_median_mean,log10_coupling_median_std,mass_eV_min_mean,mass_eV_min_std,mass_eV_max_mean,mass_eV_max_std,abs_coupling_min_mean,abs_coupling_min_std,abs_coupling_max_mean,abs_coupling_max_std
11,-14.135584435760382,7.66048105894481,7.356852935451964,9.837915022668634,-20.757586968240766,4.914461056068981,1.6913816335082041e+19,5.183991103545322e+19,3.1552961341547345e+28,7.479289429101743e+28,5.241590264834057e-20,1.1180692323199971e-19,1.0538877802425218e-17,2.4394462373970557e-17
12,-18.145783838412274,11.710942981045044,1.4167916930958122,4.089739737075514,-19.132550713757425,2.2532608226289024,5.293477931214139e+18,1.172922932403427e+19,1.4697410583967851e+28,3.0497951693389374e+28,1.762988800873879e-20,1.4232820062067523e-20,8.442334392786914e-18,1.4292358565781877e-17
13,-14.157277357010368,10.197907634233786,1.356036866545463,7.552672082377752,-18.581606574480627,0.8568790755038662,4.3372740132210924e+18,7.825381074426182e+18,9.254804605409197e+27,2.139954585448653e+28,1.4734922552072287e-20,1.2030722915669203e-20,3.617226030369534e-18,4.027809279628429e-18
14,-9.722304799662147,8.762339260212702,3.3400983345861333,8.921696321631995,-20.160987681742487,4.105538245609367,5.188463011535727e+19,7.584650088633626e+19,1.8465315189242506e+29,1.8896736118227146e+29,2.868986991452306e-20,4.339559659135987e-20,4.751010041593324e-17,1.1130576953203277e-16
15,-6.945478107164341,3.519619599446254,-1.1689619551413237,2.92260132269349,-18.62480826657972,0.8289941378361536,8.286577687142174e+19,1.3985161201407189e+20,1.1503724137664494e+29,9.21999667407477e+28,1.1163810677224495e-19,3.3911567525615247e-19,9.121507462516925e-18,1.6888646363938976e-17
16,-8.412043418617753,7.121878133329816,-0.2534394482568677,4.168598853443167,-21.196917491195652,5.609172270899288,1.694983229552856e+20,2.564611504070562e+20,1.9343261361464273e+29,1.7984597948116106e+29,1.362304502821721e-21,2.9941808012629767e-21,6.626031462101735e-17,1.19524226517266e-16
17,-6.350711361606834,2.3924658008463773,-0.21615143505288517,4.7527172180427035,-23.531040635052257,5.623685283163499,1.7194292939080293e+20,1.9843848216779466e+20,2.374737049025601e+29,1.7390403328085015e+29,2.2054666207976102e-21,4.045910377799541e-21,1.4254370561371307e-16,3.021266640968995e-16
18,-5.10361984600233,2.743316510575125,-1.1012964065769832,3.179474610873571,-21.300351907612487,4.6698568655924975,2.019702844728564e+20,3.273271033763431e+20,5.891694410751546e+29,8.685220475438016e+29,6.064659318654614e-22,9.377448755854594e-22,1.9405164927694362e-16,4.0517322537214616e-16
19,-6.396688808891893,3.4686628242616764,-0.5680662744562456,4.43787803860161,-22.592457817543174,6.249359092385478,7.637535178624131e+19,1.122230275843341e+20,1.2158504799707826e+29,1.497487388779502e+29,7.208410398636893e-22,1.0197312833614046e-21,1.149356354788843e-16,2.1746458688872364e-16
20,-3.2004322576428854,2.744145063621571,-1.1076667349652953,3.675517848274865,-19.699146525844625,1.6400340254063075,2.265595654568892e+20,2.5057455649766428e+20,1.9180799813241065e+29,1.0680001854616433e+29,4.723431544554195e-21,9.12663298523518e-21,5.311156725868118e-17,9.877622904767578e-17
21,-5.795312863962448,2.208939794493364,-1.0903078999462117,3.762759522052891,-20.448905526610965,3.5225398580359615,9.688272677772108e+19,1.3253291495215227e+20,2.3083561108940247e+29,2.7307504675776114e+29,5.6453443532069245e-22,1.2261891547694176e-21,1.9841159611048553e-17,3.8244874143876257e-17
22,-4.960392328338804,2.107288074380547,0.9377883320087935,6.055687595691135,-19.702750148839066,3.4725880842448102,2.178571650294946e+20,2.120399554590353e+20,5.509990930656279e+29,3.857179343317029e+29,3.167551793854904e-22,3.740990095730416e-22,4.1745080726799614e-17,7.579854789364516e-17
23,-6.244722012339615,1.0405550709839237,-0.28139541867761164,4.274639480738881,-18.441252750482594,0.5011677450852455,1.61497034179523e+20,2.0507403232236965e+20,7.130481810753423e+29,5.256668961438028e+29,1.3390758458464224e-21,2.1626897575958622e-21,5.7309005810623296e-18,9.450818359738764e-18
24,-6.110917847851535,0.3549138571595346,4.109738037597529,7.735408410440514,-20.652346245279983,5.830804431741719,9.490566280731281e+19,7.44447958973548e+19,1.0696129515966413e+30,1.231282154578511e+30,1.1340696311606642e-20,3.475582659942376e-20,7.534395492652441e-16,2.0956421934786733e-15
25,-3.9949035003769127,3.0568146708899726,-1.8124402690941175,4.086341337859951,-22.73728952370557,5.931507995038617,7.054386281383391e+20,1.6442437728018327e+21,1.0517901540747508e+30,1.269232741474825e+30,3.662481616828677e-23,1.158123667425695e-22,3.2893753050888853e-16,3.407497874193028e-16
26,-4.720580374193618,1.7944301619073104,-4.035093267142697,0.9553442861415523,-22.117528021713134,4.865511249223898,3.7890350513106996e+20,3.520507184296627e+20,1.1202302889089831e+30,5.913713636979364e+29,4.8253656140858654e-23,1.0695002947787397e-22,2.7044395735019974e-16,4.601637605575677e-16
27,-4.897459396025387,2.825374887636665,3.2482516245268243,8.234168714669487,-21.70141149670913,5.697831068601507,4.005662365784115e+20,4.976025525749557e+20,8.967245267256412e+29,9.94077716657595e+29,5.540634777988825e-22,1.3579962314976914e-21,6.97569005323629e-16,1.465342581134394e-15
28,-4.299470740001743,2.833704070837266,-0.7642336675857526,6.684547695959799,-20.622204958610578,4.748248660522296,6.087869926895429e+20,7.96349068320698e+20,2.0060825589182282e+30,2.35763117943776e+30,3.4286906036621455e-21,1.0509129755125715e-20,2.3894442944482837e-16,3.2923236330883673e-16
29,-5.295978001827768,0.7129215121831758,-0.6261687218697283,6.007468177378487,-20.845393967353775,4.2408475399087076,2.030386657305982e+20,1.940809175947305e+20,2.552111325443392e+30,3.6364080890491806e+30,1.6812939618591862e-22,5.196276277844483e-22,2.174512323819401e-16,3.1832680218400463e-16
30,-4.722987440564038,1.571452247862456,-3.407936075117282,2.736183893763013,-19.950312176376865,4.195016994306363,1.0918539726719542e+21,1.83722266401806e+21,4.2507207816167104e+30,4.555146919044987e+30,5.438752454483874e-25,1.1518041736257501e-24,7.615067087331771e-16,1.7973911226799325e-15
31,-4.479988412716479,1.7056344806749844,0.22217259157621924,6.745837114271375,-21.774901133288534,5.687543481322139,4.681481976510708e+20,5.410393425330744e+20,2.330876151975419e+30,1.7572872935465406e+30,5.8831254751669154e-24,1.856171137786496e-23,4.452860118851036e-16,7.808526291823909e-16
32,-5.083634464127235,2.142104500538763,-1.0350850432716925,3.536330810365139,-19.599803138433,4.0987386740802405,3.09560326529857e+20,2.2941041413414692e+20,1.5897909346793482e+30,1.1696789535325034e+30,3.2051290236170603e-22,5.452878280802208e-22,2.931837677946647e-16,7.370884028199294e-16
33,-4.621244930159362,2.3531303178492395,-1.3232890581928405,5.011636289764773,-18.110202273091176,1.3254151501142346,3.421815531598144e+21,4.675571505863921e+21,2.8382518544328527e+30,4.9348577160029426e+30,1.7445206536170866e-25,3.070608754362498e-25,6.593504809427035e-17,1.0164752071812403e-16
