h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
17,7,-8.316063655708684,10.511256249899608,-18.771464242130918,1.078185863109239e+18,5.319053849920908e+27,1.172547400949228e-20,7.644487285972573e-19,11
17,8,-3.1484945128166717,-1.5976382007536731,-19.573347664403666,5.208529047335676e+20,2.943921400476605e+29,1.3760108751401216e-21,1.8417655518176568e-19,10
17,9,-12.074946972580289,-2.7763814933711037,-19.230125406370973,51524122027807.445,3.63091267632704e+23,1.9298892692957976e-26,5.708505725084574e-19,10
18,0,-2.110243524931189,-2.26933638646113,-23.029991576439222,8.889732830189731e+20,3.0090971340645985e+30,1.0668745009454462e-28,1.3243285556611686e-15,12
18,1,-6.220580517273291,-3.76502159451602,-18.806863002539906,6.5025859835950465e+19,1.758241761737906e+29,6.384005243849719e-28,1.3592065620828193e-18,13
18,2,-8.299317071608364,-3.4127931371553797,-17.84528822804127,5.908645790185216e+17,6.757509769828564e+27,2.2108062790569187e-21,1.0273693588158729e-17,10
18,3,-6.531545349747765,-4.03180487629806,-23.18858591393827,9.441432050915744e+19,3.696146283873901e+29,7.327072796285003e-25,1.1995234034465314e-16,9
18,4,-6.585225236048434,-2.4567589983726137,-17.013729822329758,5.603572496608653e+19,4.745448994339051e+29,8.76121845667733e-22,7.334200293689709e-17,10
18,5,-6.21685625127218,3.6451242917248416,-31.96415228893698,4.269018902004969e+19,2.0892212352051577e+29,5.226334613988814e-34,2.3982028837357507e-16,12
18,6,-6.879394925356646,1.6660618082386338,-17.242970476733007,1.1459371549871428e+19,6.697102158424199e+29,6.208046931050231e-22,2.009771379246057e-17,10
18,7,-5.741424430855084,-0.47528310485893294,-19.102878433256162,9.952747985231007e+19,3.57962702780411e+29,2.356192996021377e-21,8.811811156671965e-19,11
18,8,0.7994358520118967,-4.052559494938064,-19.59965738461441,7.439772839393157e+20,2.9081037506245033e+29,5.243155503680078e-29,7.674164470608891e-19,12
