5,0,0,3.4333333333333271e+03,3.1149999999999966e+02,1,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,-1.8495997148620432e+01,-3.1915588093520531e-19,3.9269387875570504e-168,0.0000000000000000e+00,0.0000000000000000e+00,9.0919661351215109e+02,2.2138937539020878e+21
5,0,1,3.4333333333333271e+03,3.2749999999999966e+02,1,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,-1.9383510552808843e+01,-4.1351326637404762e-20,1.9668613322051730e-171,0.0000000000000000e+00,0.0000000000000000e+00,6.4831382394977754e+02,1.5786441613177082e+21
5,0,2,3.4333333333333271e+03,3.2349999999999966e+02,1,0,7.3410341770282448e-65,1.7875418221063776e-46,1.7875418221063777e-37,5.3890782788296755e-129,-4.5747743788465321e+01,-3.6747743788465321e+01,-1.8977853685869245e+01,1.0523163402597917e-19,1.2314595961846269e-167,2.0919300684215984e+19,5.0938497166065918e+37,3.9654829728228799e+02,9.6559510388237127e+20
5,0,3,3.4333333333333271e+03,4.2499999999999908e+01,1,0,1.1618140416766147e-64,2.8290171914825568e-46,2.8290171914825570e-37,1.3498118674369507e-128,-4.5548364413397259e+01,-3.6548364413397259e+01,-1.8288381758506283e+01,5.1477594140076295e-19,1.4004689917393548e-167,3.1045586756211593e+19,7.5596003751375228e+37,3.0039839010117748e+02,7.3147007989636714e+20
5,0,4,3.4333333333333271e+03,3.9199999999999955e+02,1,0,6.3498756821010239e-56,1.5461947285915994e-37,1.5461947285915994e-28,4.0320921178137941e-111,-3.6810735811693753e+01,-2.7810735811693753e+01,-1.8446577648094205e+01,-3.5762045541828267e-19,2.3755842704926727e-102,4.1198367020909006e-05,1.0031802369591344e+14,7.8347253520052433e+01,1.9077556232132769e+20
5,1,0,8.1999999999999801e+01,2.2999999999999964e+01,5,4,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,-3.4067652615109743e+01,-8.5575094005736167e-35,8.8936966788106582e-49,0.0000000000000000e+00,0.0000000000000000e+00,9.7334959665773212e+01,2.3701062678615776e+20
5,1,1,8.1999999999999801e+01,2.2999999999999964e+01,5,4,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,-3.5647261062652170e+01,2.2528845533926650e-36,4.8290947149401069e-49,0.0000000000000000e+00,0.0000000000000000e+00,7.5590603081610482e+01,1.8406311850372153e+20
5,1,2,8.1999999999999801e+01,2.2999999999999957e+01,5,4,7.6796360369282274e-23,1.8699913749920235e-04,1.8699913749920233e+05,5.8976809659686693e-45,-3.7281603965661798e+00,5.2718396034338202e+00,-3.3671414133467394e+01,-2.1310118588989049e-34,1.3656202857155449e-46,6.5716686562785789e+00,1.6002013178038340e+19,3.4176218383544565e+01,8.3219091763931021e+19
5,1,3,8.1999999999999801e+01,1.6999999999999968e+01,5,4,2.1746778018462699e-22,5.2953404474956670e-04,5.2953404474956670e+05,4.7292235418429239e-44,-3.2761061130417235e+00,5.7238938869582769e+00,-3.4432745374579291e+01,-3.6919399234711815e-35,8.4785285854639320e-38,7.4685222133639138e-04,1.8185851589541130e+15,3.3158937045095762e+01,8.0742011704808178e+19
5,1,4,8.1999999999999801e+01,1.1499999999999972e+01,5,4,1.8331137163841695e-14,4.4636318993954526e+04,4.4636318993954523e+13,3.3603058971957819e-28,4.6496883726112239e+00,1.3649688372611225e+01,-1.7493679329662555e+01,-3.2086376141855828e-18,4.2279830742054037e-21,2.8191798785963840e-04,6.8647030043821950e+14,2.7302698468472251e+01,6.6482070770729927e+19
