h11,cy_index,max_f_chol,max_log10_f_over_Mpl
1,0,0.27566444771089627,-0.5596192409982834
2,0,0.07264396039156847,-1.1388004870459083
3,0,0.047877835260834826,-1.319865493928271
4,0,0.019398561429239652,-1.712230475559891
5,0,0.001601935965889425,-2.7953548479376025
6,0,0.004265342694883913,-2.3700460701194177
7,0,0.0009859396157209657,-3.006149682789244
8,0,0.004400773294209276,-2.356471003536553
9,0,0.000506664120354739,-3.295279849377518
10,0,0.0001614601810422509,-3.7919345648861302
11,0,0.0011533175949575676,-2.938051082345717
12,0,0.0005093048281301929,-3.2930222067604764
13,0,0.0001428844700376653,-3.8450149716531397
14,0,0.000399843983995427,-3.3981094339401894
15,0,0.0004648155566278524,-3.3327193452378348
16,0,0.0001669549362479674,-3.7774007359174195
17,0,0.0003859573997577707,-3.413460628154985
18,0,2.765990727087374e-05,-4.558149280185326
19,0,0.0005514513121799659,-3.258492825535653
20,0,0.0007311976876621242,-3.135965190683918
21,0,0.0013089871796526365,-2.883064606950682
22,0,0.00013329639122717146,-3.8751816082106063
23,0,0.0010027926333297562,-2.998788865096737
24,0,0.00017570337264275062,-3.7552199021013
25,0,3.7285353936804974e-05,-4.428461729948366
26,0,0.00023394803881068003,-3.630880591152586
27,0,0.000403655103111943,-3.393989552682984
28,0,0.00024059226018443018,-3.6187183479573526
29,0,0.00016350614379511766,-3.786465923944445
30,0,2.872248829183391e-05,-4.541777938921315
31,0,0.00013312935676627885,-3.8757261663451272
32,0,0.00018216665936757268,-3.739531105835348
33,0,8.05915986401313e-05,-4.093710229341365
34,0,5.468674344045218e-05,-4.262117937805673
35,0,3.319489332153541e-05,-4.478928722707464
36,0,0.00021988582890586472,-3.657802758935253
37,0,0.0003143962587767538,-3.5025226305788086
38,0,6.437043131646079e-05,-4.1913135808550095
39,0,5.212794839583617e-05,-4.282929367302038
40,0,1.1218324445935472e-05,-4.9500720038841886
41,0,1.4355476512023866e-05,-4.84298238706801
42,0,1.9591909274052115e-05,-4.707923239003685
43,0,0.0001589709404110644,-3.7986822566389526
44,0,3.447349294524795e-05,-4.462514710500012
45,0,7.995186514050844e-06,-5.097171400450798
46,0,7.362428054040668e-06,-5.13297893612821
47,0,4.071484487792606e-06,-5.390247215514128
48,0,7.867495262409164e-06,-5.104163509934943
49,0,6.87555568811525e-07,-6.162692196038861
50,0,2.3462480296585578e-05,-4.62962607908398
51,0,2.0069032526132914e-05,-4.697473563172171
52,0,0.00013243424149314502,-3.877999711505911
53,0,2.1687082158648755e-05,-4.66379887526292
54,0,9.954529287510276e-06,-5.00197927131413
55,0,1.0812483706177475e-06,-5.966074533984705
56,0,5.7996740381573824e-05,-4.236596414610798
57,0,1.7661193646930714e-05,-4.752979947601208
58,0,1.2427697881942219e-05,-4.905609313012831
59,0,2.6105527058265316e-05,-4.583267534164219
60,0,7.544041133276425e-06,-5.122395952308603
61,0,1.8551590170983358e-05,-4.731618858400169
62,0,6.0650859304181424e-05,-4.217163041649501
63,0,5.08698319384819e-06,-5.293539697169323
64,0,9.666986885304083e-05,-4.01470887059134
65,0,4.280879188147215e-06,-5.368467028335128
66,0,1.6456524730401026e-06,-5.783661873240629
67,0,3.423499806899536e-05,-4.465529692292783
68,0,9.01776914322757e-06,-5.04490088691653
69,0,1.094157779264193e-05,-4.960920047542786
70,0,8.222041210050494e-06,-5.085020350803945
71,0,5.166078754353911e-06,-5.286838977504431
72,0,3.6155903694920006e-06,-5.441820779066841
73,0,5.467274574034455e-06,-5.262229114695669
74,0,6.285725047120391e-06,-5.201644619998365
75,0,1.334753352904112e-06,-5.874598979519744
76,0,1.7790999559725843e-05,-4.749799651068502
77,0,7.007943577955533e-06,-5.154409403398367
78,0,5.3413932778474014e-05,-4.272345444477778
79,0,5.5916712194975235e-06,-5.252458372268764
80,0,7.085322079851456e-06,-5.149640403098533
81,0,4.621059612045808e-06,-5.335258429010929
82,0,1.1466844058343355e-06,-5.9405560935757125
83,0,1.7514809494508734e-06,-5.75659458206502
84,0,1.9422161245631825e-05,-4.711702444622318
85,0,2.0751007343325666e-05,-4.6829608159143525
86,0,3.0874419601439625e-07,-6.510401197821713
87,0,4.217555302282191e-06,-5.374939214057503
88,0,7.665614951136518e-07,-6.115452999430285
89,0,5.510626372248983e-06,-5.258799033716191
90,0,6.958741925647122e-06,-5.157469269604378
