h11,cy_index,triag_index,tau,cy_volume,f_GeV,g_eff_GeV_inv,mass
100,0,0,0.49999998788416633,2923191.6643589046,75040578650033.14,1.548115611551211e-17,1.6425310814190176e+31
100,0,0,1.499999997594216,2923191.6643589046,59066246805462.79,1.9667999507496825e-17,9.017663553730081e+29
100,0,0,11.339506176569557,2923191.6643589046,37212441867894.75,3.121845422570359e-17,5.38214842598996e+16
100,0,0,63.6692166540329,2923191.6643589046,20717713503480.86,5.607350989211933e-17,3.871528294652892e-55
100,0,0,48.06095679037185,2923191.6643589046,17001853792899.693,6.832872034017155e-17,9.316840618434805e-34
100,0,0,7.500000055208602,2923191.6643589046,34525471420292.04,3.364805360475804e-17,1.004698108641171e+22
100,0,0,36.47530864865803,2923191.6643589046,27577095158328.582,4.2126079864821353e-17,3.6846886287033804e-18
100,0,0,17.8006413294205,2923191.6643589046,32176273065349.547,3.6104707052930024e-17,95211208.82300372
100,0,0,68.31481481462967,2923191.6643589046,19229365271646.92,6.041358602680657e-17,1.9138814440609695e-61
100,0,0,45.19444444181363,2923191.6643589046,22729399422115.516,5.1110673516045e-17,5.6777811565542264e-30
100,0,0,3.999999998419298,2923191.6643589046,40069628807565.98,2.899240516199073e-17,5.1603267112797735e+26
100,0,0,10.315586418871248,2923191.6643589046,25943745813496.793,4.477822599060332e-17,1.9258526900473362e+18
100,0,0,58.588838385727115,2923191.6643589046,22134720190146.523,5.2483830972332614e-17,3.095267603552462e-48
100,0,0,1.3333333312824607,2923191.6643589046,52960548806657.91,2.193547724213696e-17,1.6977626898077376e+30
100,0,0,18.16666669549204,2923191.6643589046,24384405217917.547,4.764171619924957e-17,39784627.56447784
100,0,0,63.77383760069324,2923191.6643589046,21883834674130.9,5.308552775957511e-17,2.6385084526802603e-55
100,0,0,28.544468498820436,2923191.6643589046,25407302834287.844,4.5723661447123867e-17,2.646314852398422e-07
100,0,0,54.16617846017607,2923191.6643589046,22016267410007.32,5.2766206525611136e-17,3.3666748176346114e-42
100,0,0,74.52360360945568,2923191.6643589046,19663480829339.367,5.907982025980688e-17,6.325501516174783e-70
100,0,1,9.499999999767226,1493613.4182604316,113152069126211.72,1.0266846395744931e-17,5.724796718466653e+18
100,0,1,47.63661195464647,1493613.4182604316,49459502902601.16,2.3488204387481453e-17,1.2147341915865527e-33
100,0,1,1.5000000070248802,1493613.4182604316,92625267140451.23,1.2542095142548689e-17,5.750477615194479e+29
100,0,1,0.5000000103027276,1493613.4182604316,104362628128706.47,1.1131522211637189e-17,1.18104034297975e+31
100,0,1,23.040955626513096,1493613.4182604316,38866920841518.48,2.988955358250452e-17,5.583194641924166
100,0,1,5.500000021456799,1493613.4182604316,53873669145253.336,2.156368651905499e-17,3.447874114380949e+24
100,0,1,57.500000026274165,1493613.4182604316,34746649783946.414,3.343386830969418e-17,6.031767770438988e-47
100,0,1,21.500000003188347,1493613.4182604316,41478282051463.055,2.800778758479345e-17,662.346977274385
100,0,1,33.99999998378553,1493613.4182604316,42356822529931.164,2.7426866409977047e-17,5.718452911821703e-15
100,0,1,10.500000000725777,1493613.4182604316,33121564307134.29,3.507427675537952e-17,8.451530727136618e+17
100,0,1,51.500000000331966,1493613.4182604316,21402574193804.145,5.4279214386082316e-17,1.5036601719643004e-38
100,0,1,41.62535976189747,1493613.4182604316,29167143544835.96,3.982957437342916e-17,3.2767812718996563e-25
100,0,1,32.28822034624818,1493613.4182604316,31918289578575.67,3.639652777194237e-17,1.6431377466287177e-12
100,0,1,66.46245733596788,1493613.4182604316,24802865045645.824,4.6837932268775085e-17,4.99678741927498e-59
100,0,1,62.500000007135895,1493613.4182604316,28475503865303.156,4.079699234032009e-17,1.10918602398444e-53
100,0,1,12.43393466570808,1493613.4182604316,34042076163660.266,3.412585376680558e-17,1889798278136769.5
100,0,1,71.1696733289244,1493613.4182604316,28399098150854.566,4.0906753690154436e-17,1.649962150469348e-65
100,0,1,65.50000000245382,1493613.4182604316,29353240683102.523,3.9577058138874615e-17,8.683417760748832e-58
100,0,1,35.00000000927457,1493613.4182604316,32620882059155.637,3.5612614979964096e-17,3.208705316949885e-16
100,0,1,11.000000005720096,1493613.4182604316,46811670283480.04,2.481677979111761e-17,1.2430937805767141e+17
100,0,1,21.80121988582752,1493613.4182604316,38415435658476.41,3.0240836610769884e-17,277.60243498752317
100,0,1,54.58922476911016,1493613.4182604316,30131489643730.664,3.855484500817706e-17,6.512232219775796e-43
100,0,1,63.6956849178667,1493613.4182604316,29113330282727.19,3.9903195608259505e-17,2.5352436291515473e-55
100,0,1,63.500000001523176,1493613.4182604316,29845509494644.02,3.892427814938143e-17,4.573202822994599e-55
100,0,1,15.500000000113488,1493613.4182604316,37782508710148.57,3.074742659339309e-17,111653837771.84436
100,0,1,6.000000002029537,1493613.4182604316,50855452482313.38,2.2843468229558114e-17,7.592805631761548e+23
100,0,1,39.79449382048733,1493613.4182604316,31616259125311.22,3.6744224181458805e-17,9.515268923105897e-23
100,0,1,28.669185763014866,1493613.4182604316,27999173810139.957,4.1491042591364274e-17,1.622906783806764e-07
100,0,1,42.24573378838939,1493613.4182604316,29096102256131.95,3.9926822598195225e-17,4.6782441714178414e-26
100,0,2,12.041456146893779,2088140.326971557,93287380113971.81,1.2453076843408276e-17,2366448197077794.5
100,0,2,1.5000000091372385,2088140.326971557,76288797585991.72,1.5227857166972105e-17,6.981883823211437e+29
100,0,2,0.500000011767213,2088140.326971557,87247341265993.48,1.3315189852465238e-17,1.4127246946877103e+31
100,0,2,3.1467141504811025,2088140.326971557,56796758683195.26,2.0453894553374408e-17,5.313393744038963e+27
100,0,2,7.49999999556303,2088140.326971557,56350370469557.28,2.0615923256567282e-17,6.155715046186211e+21
100,0,2,65.17948944335762,2088140.326971557,18847626716737.184,6.163719870618485e-17,3.701579721175562e-57
100,0,2,65.50000000444925,2088140.326971557,25513915463869.33,4.553260022847734e-17,9.990095414649138e-58
