h11,cy_index,triag_index,tau,cy_volume,f_GeV,g_eff_GeV_inv,mass
100,2,0,43.9397530865769,2152135.986774935,24674553038756.58,4.708149773796552e-17,2.693943801466116e-28
100,2,0,69.83160494098001,2152135.986774935,24190815623904.03,4.802297413782053e-17,1.2964533295366874e-63
100,2,0,20.533333333160044,2152135.986774935,22795245705560.49,5.0963035366455765e-17,25116.50393101819
100,2,0,69.47604938293608,2152135.986774935,18980954803898.586,6.120423999117885e-17,5.048948485519327e-63
100,2,0,17.644444444847068,2152135.986774935,21630357796733.07,5.370761427048549e-17,231351037.01328954
100,2,0,53.6844444467592,2152135.986774935,27362099955842.92,4.2457081691621214e-17,1.2304442291103114e-41
100,2,0,18.899999981285873,2152135.986774935,32716427460295.68,3.5508611522128244e-17,2961549.4946123837
100,2,0,20.049629619707048,2152135.986774935,30885769193868.88,3.761327444323904e-17,84722.53716446015
100,2,0,50.33333333960309,2152135.986774935,25829919561561.02,4.497555287815695e-17,4.867041605545592e-37
100,2,0,48.516296298070756,2152135.986774935,26044961109214.703,4.46042099355838e-17,1.4547446635936347e-34
100,3,0,5.435307037566815,1080742.1500995536,110325702759047.7,1.0529866423028581e-17,2.0630836185252822e+24
100,3,0,4.955592183251383,1080742.1500995536,82326502579641.9,1.411106844913879e-17,1.2478588717679508e+25
100,3,0,4.467653508039916,1080742.1500995536,84499555919678.31,1.3748177732245185e-17,5.630963354389005e+25
100,3,0,6.499999973239255,1080742.1500995536,75364610327225.94,1.5414594569460027e-17,1.0650848559888204e+23
100,3,0,9.999999998967382,1080742.1500995536,63380750358038.85,1.832914420414688e-17,2.1245992197077478e+18
100,3,0,18.029258867436738,1080742.1500995536,57227785813728.64,2.0299840305910262e-17,26103365.95708525
100,3,0,57.214115026607374,1080742.1500995536,35592847535646.92,3.263899894258385e-17,1.4456046899955506e-46
100,3,0,74.42285151790463,1080742.1500995536,41286547771283.83,2.81378554466484e-17,4.134381648891981e-70
100,3,0,15.899872889106575,1080742.1500995536,56811571543294.516,2.0448561472977693e-17,21142217146.772617
100,3,0,43.370614036043605,1080742.1500995536,39221349004843.39,2.961945324563083e-17,1.0130599856751805e-27
100,3,0,11.281249999611873,1080742.1500995536,54488131870439.52,2.1320512801610155e-17,4.413928272785984e+16
100,3,0,16.99999999877255,1080742.1500995536,55266810436276.67,2.102011865546321e-17,685702157.9272288
100,3,0,19.917968750755392,1080742.1500995536,51594880657967.836,2.2516088772077113e-17,76698.30013225086
100,3,0,32.499999999650726,1080742.1500995536,44166193036923.484,2.6303261232144687e-17,6.104870634303298e-13
100,3,0,9.499999998740975,1080742.1500995536,57199574566796.64,2.0309852335053615e-17,1.132477996586235e+19
100,3,0,31.690764828792226,1080742.1500995536,37668185384347.04,3.0840745345866253e-17,9.096892537918971e-12
100,3,0,31.45198522602749,1080742.1500995536,41312905966973.81,2.811990311231607e-17,1.7561728663268054e-11
100,3,0,9.31099983768516,1080742.1500995536,56601218362098.83,2.0524556656141396e-17,2.072354947695394e+19
100,3,0,43.708881577177635,1080742.1500995536,36944842301169.08,3.1444576312151887e-17,3.7160336429987153e-28
100,3,0,44.866711391359104,1080742.1500995536,34435785756600.83,3.3735687673595326e-17,1.0493197253565122e-29
100,3,0,61.35032894701453,1080742.1500995536,34055404223802.15,3.4112498135246836e-17,3.43458110075375e-52
100,3,0,16.062500006210144,1080742.1500995536,49571125773611.11,2.3435314307466466e-17,14536972105.364912
100,3,0,39.17269736857046,1080742.1500995536,35322828590572.68,3.288850183956045e-17,6.006762369441061e-22
100,3,0,71.63900926847275,1080742.1500995536,30722128262697.22,3.781362095574874e-17,3.491213229136694e-66
100,3,0,44.91406250090381,1080742.1500995536,39950653922354.31,2.907874587828693e-17,7.794516981220152e-30
100,3,0,28.70524584490738,1080742.1500995536,41500656569573.64,2.7992687564640695e-17,9.776520189722634e-08
100,3,0,45.543931786822554,1080742.1500995536,33793051884786.55,3.4377330495045517e-17,1.273816661214029e-30
100,3,0,13.00000000803243,1080742.1500995536,46666970645357.77,2.4893728841066106e-17,232860438169392.06
100,3,0,73.02314894965261,1080742.1500995536,33318116628067.113,3.486736438460335e-17,4.161594654844371e-68
100,3,0,42.257812499363865,1080742.1500995536,40542722833276.44,2.865409207607591e-17,3.232398373066936e-26
100,3,0,23.50000000005616,1080742.1500995536,42760764019414.67,2.716777727713365e-17,1.1997980713018772
100,3,0,40.765625002304944,1080742.1500995536,40843665577476.695,2.844296408401105e-17,3.485125460238116e-24
100,3,0,36.429687502025956,1080742.1500995536,40240597568681.81,2.886922618623487e-17,2.9142667692646967e-18
100,3,0,25.40412554829416,1080742.1500995536,41685650271006.41,2.786846086187925e-17,0.003106155277024675
100,3,0,23.187499999895408,1080742.1500995536,43073272187133.28,2.6970667750349184e-17,3.179167141215051
100,3,0,69.33593750023783,1080742.1500995536,33610431358590.74,3.456411792770987e-17,4.428026874741148e-63
100,4,0,0.5000000210208384,2291116.629175601,93039226429149.66,1.2486291617699403e-17,1.3247796085554553e+31
100,4,0,0.4999999829967976,2291116.629175601,84594389536650.61,1.3732765487671188e-17,1.4570290697522185e+31
100,4,0,10.073717958198358,2291116.629175601,47246850582087.914,2.4588197917258722e-17,2.2609059115766707e+18
100,4,0,13.765049737507809,2291116.629175601,46851585726659.77,2.479563701124596e-17,20968398674068.887
100,4,0,54.49999998290832,2291116.629175601,34962989493111.016,3.322699030952225e-17,7.428106304572742e-43
100,4,0,29.499999985893282,2291116.629175601,26146299994514.766,4.4431331137608166e-17,1.2778658737740544e-08
100,4,0,58.35256410763827,2291116.629175601,19277832728311.09,6.026169691645128e-17,7.465881096714034e-48
100,4,0,42.721153844338914,2291116.629175601,22411918459051.883,5.1834693009527997e-17,1.3639133595860088e-26
100,4,0,15.500000008888492,2291116.629175601,34052859591129.297,3.411504722446724e-17,123882752652.5847
100,4,0,24.849358914025288,2291116.629175601,30895682177301.344,3.760120609775773e-17,0.023945418503948726
100,4,0,14.499999999749733,2291116.629175601,33282307997976.086,3.4904878386143553e-17,2933103346761.793
100,4,0,39.49999999991405,2291116.629175601,27667698813528.2,4.198812922278539e-17,2.7425775400780303e-22
100,4,0,35.99999999523425,2291116.629175601,27382440153001.89,4.242554376411816e-17,1.6518745118941753e-17
100,4,0,22.260729983371334,2291116.629175601,30796866135749.344,3.7721854813370004e-17,81.74812441707165
100,4,0,49.34935895764738,2291116.629175601,27135186705441.426,4.281212160764566e-17,1.0194517551556578e-35
100,4,0,59.623885394555714,2291116.629175601,25966594350533.465,4.4738824714441673e-17,1.0213241026768288e-49
100,4,0,54.21441999394392,2291116.629175601,24850532575835.062,4.674808918216879e-17,2.5632416630750793e-42
100,4,0,38.34420199839633,2291116.629175601,26698629386510.74,4.3512155484149123e-17,1.0729672116918224e-20
100,4,0,72.275796259858,2291116.629175601,22698594153456.812,5.1180038077495135e-17,6.391629598700788e-67
100,4,0,34.582474980209554,2291116.629175601,26464238076139.87,4.389753862314778e-17,1.468342657656559e-15
100,4,0,35.716674882192706,2291116.629175601,27421791147058.1,4.2364661989053206e-17,4.017126104414583e-17
100,4,0,20.166666666665378,2291116.629175601,20782736836541.668,5.589807166479245e-17,87171.00578708436
100,4,0,20.99999999999733,2291116.629175601,32003899688693.445,3.62991674258355e-17,4129.444180266348
100,5,0,0.499999983971918,3479006.3655774985,86765274930211.08,1.3389168812222905e-17,1.4205738921981794e+31
100,5,0,0.5000000414413535,3479006.3655774985,72643916876436.78,1.599190906866352e-17,1.6967210382047391e+31
100,5,0,7.499999940963278,3479006.3655774985,34582184814427.582,3.359287214828787e-17,1.0030508041029112e+22
100,5,0,70.20512820520355,3479006.3655774985,8706529343298.543,1.3343031043405437e-16,1.1141303921832442e-63
100,5,0,18.888888873937162,3479006.3655774985,27818259505166.25,4.176087698311179e-17,3606738.4274370936
100,5,0,16.00000003001105,3479006.3655774985,29982969486757.56,3.8745825812637315e-17,29248364468.656673
100,5,0,51.515696948704544,3479006.3655774985,21479931367830.324,5.408373486795141e-17,1.426153503723624e-38
100,5,0,12.999999982313284,3479006.3655774985,27844843444746.445,4.1721007172648036e-17,390265872103559.3
100,5,0,24.74778099036729,3479006.3655774985,26299894541671.055,4.417184682010191e-17,0.03870407840071229
100,5,0,71.00000001751187,3479006.3655774985,19282958069949.027,6.024567957184792e-17,4.14097994830545e-65
100,5,0,22.67915844197023,3479006.3655774985,25279715257316.887,4.5954430311207116e-17,26.749658992592316
100,5,0,10.749999990828456,3479006.3655774985,29429116802312.688,3.947501791790893e-17,4.3368550909495245e+17
100,5,0,38.33990797451963,3479006.3655774985,23243046518623.438,4.99811809157077e-17,1.2492260466327735e-20
100,5,0,36.87508218500946,3479006.3655774985,23629680311002.727,4.9163378335617895e-17,1.2247569310294608e-18
100,5,0,68.1877054573938,3479006.3655774985,19575702758614.758,5.934473604367984e-17,2.8027710327813393e-61
100,5,0,70.37804075208027,3479006.3655774985,20790816468932.59,5.587634881080604e-17,2.7101401770955168e-64
100,5,0,72.94082841503996,3479006.3655774985,19666053746917.9,5.907209082358957e-17,9.131438326363954e-68
100,5,0,64.52268244562833,3479006.3655774985,20364195850861.79,5.704693284170932e-17,2.697170808549718e-56
100,5,0,60.61637080738387,3479006.3655774985,19375499140051.95,5.995793474440594e-17,6.056225624764823e-51
100,5,0,40.0046022353705,3479006.3655774985,23813423813475.766,4.8784035516225346e-17,6.528941165215967e-23
100,5,0,13.910256410257062,3479006.3655774985,26214911045906.35,4.431504310829765e-17,23747867694435.14
100,5,0,68.00460215186354,3479006.3655774985,20497870841087.86,5.667490648593987e-17,4.757930023169132e-61
100,5,0,19.16305063072241,3479006.3655774985,27161804178118.98,4.277016745505378e-17,1561083.6285663473
100,5,0,38.38231426671416,3479006.3655774985,22112833321032.504,5.253577848726283e-17,1.1492950798928857e-20
100,5,0,4.333333341468119,3479006.3655774985,38645506598107.266,3.00608017682559e-17,1.877592673369607e+26
100,5,0,47.333333328691054,3479006.3655774985,19918927097947.29,5.832216300441436e-17,7.820801204929387e-33
100,5,0,53.66666667180789,3479006.3655774985,20379807802505.18,5.700323203915224e-17,1.7468951964457635e-41
100,5,0,44.98750821779106,3479006.3655774985,21296811901236.758,5.454877088960271e-17,1.1608895594936222e-29
100,5,0,27.769230769227832,3479006.3655774985,24347885280494.33,4.771317507439571e-17,3.153950393931158e-06
100,5,0,10.000000000000092,3479006.3655774985,30560848433609.52,3.801317609369521e-17,4.406248491786252e+18
100,5,0,5.500000000000245,3479006.3655774985,34629006279715.547,3.3547451627568644e-17,5.36398995435263e+24
100,5,0,3.499999995094697,3479006.3655774985,34629016052878.902,3.354744215964947e-17,2.8723710944870164e+27
100,5,0,12.000000001099806,3479006.3655774985,28238089775766.39,4.113999644821934e-17,8905255184015185.0
100,6,0,0.49999999672917284,3829350.0987498458,134331081027590.33,8.648146833873264e-18,9.175574143563545e+30
100,6,0,0.4999999998714202,3829350.0987498458,60749075811453.87,1.9123170148055056e-17,2.028944087004271e+31
100,6,0,22.999999999658854,3829350.0987498458,29005403281961.35,4.005167250344718e-17,8.50869360334454
100,6,0,55.00000000649675,3829350.0987498458,19279745297008.223,6.025571889996906e-17,2.8002523396072557e-43
100,6,0,34.50000001909302,3829350.0987498458,25200798747675.83,4.6098336989682463e-17,1.99801797683647e-15
100,6,0,45.666666666639685,3829350.0987498458,11894811705519.777,9.766568331135795e-17,2.4610486606602306e-30
100,6,0,47.666666666171295,3829350.0987498458,11565871476236.451,1.0044335314173417e-16,4.72657663026145e-33
100,6,0,54.499999999454005,3829350.0987498458,13013283412209.293,8.927146795170745e-17,1.9957206875031324e-42
100,6,0,62.499999997629004,3829350.0987498458,19019680543442.312,6.107962278473017e-17,1.6606289356174478e-53
100,6,0,49.9999999938118,3829350.0987498458,20112260530540.375,5.776152866135904e-17,1.7812273761773036e-36
100,6,0,9.50000001388321,3829350.0987498458,28921320450437.23,4.016811455999636e-17,2.2397752080683397e+19
100,6,0,61.00000000063443,3829350.0987498458,20964800899677.38,5.5412637526999143e-17,1.6770638730742127e-51
100,6,0,23.500000000356863,3829350.0987498458,23212707576956.89,5.004650617460736e-17,2.210180866636674
100,6,0,21.500000007080416,3829350.0987498458,23745660499973.812,4.8923251180181294e-17,1156.9698978653694
100,6,0,26.99999999826946,3829350.0987498458,22904145762720.297,5.0720726505783144e-17,3.757701523367321e-05
100,6,0,53.26388888847028,3829350.0987498458,19607004835787.902,5.924999370424468e-17,6.435705494657994e-41
100,6,0,28.25000000574005,3829350.0987498458,23378374046465.465,4.9691860981031986e-17,7.253566956624975e-07
100,6,0,66.0555555555338,3829350.0987498458,18387358914759.375,6.31800857570159e-17,2.4201402679711096e-58
100,6,0,18.00000000385637,3829350.0987498458,22185261379639.383,5.236426532011459e-17,73817444.61694176
100,6,0,21.000000003982677,3829350.0987498458,23267391941343.12,4.992888399388297e-17,5679.979775722401
100,6,0,36.66666666693368,3829350.0987498458,19834345664516.312,5.857087159461169e-17,2.8083231425876855e-18
100,6,0,59.4999999999842,3829350.0987498458,17215028354124.723,6.748260236243998e-17,2.273511394597986e-49
100,6,0,45.11111111110739,3829350.0987498458,18782280689674.824,6.185164263454742e-17,8.927221469901509e-30
100,6,0,64.58333333341761,3829350.0987498458,17264871132652.494,6.728778362454233e-17,2.62943075080111e-56
100,6,0,35.49999999477086,3829350.0987498458,20811486169273.492,5.582085313996979e-17,1.0455246635462631e-16
100,6,0,13.999999999645297,3829350.0987498458,26594234433180.766,4.3682961282393376e-17,17657998881548.727
100,6,0,47.49999999124111,3829350.0987498458,19803936952089.164,5.866080647954073e-17,4.659824930075368e-33
100,7,0,0.49999999987505817,2011691.704074993,142343582305222.16,8.161343801145213e-18,8.659082212285514e+30
100,7,0,0.5000000026829241,2011691.704074993,87189602518607.31,1.3324007444942809e-17,1.4136602703704716e+31
100,7,0,16.17622547595562,2011691.704074993,40825398561673.37,2.845569067316195e-17,12348322518.12646
100,7,0,64.49999998771,2011691.704074993,25401851606666.355,4.573347372735035e-17,2.3219761277897522e-56
100,7,0,60.50000001402282,2011691.704074993,27117666800781.78,4.283978122505867e-17,6.237006323303704e-51
100,7,0,66.00000001518436,2011691.704074993,25609241044109.062,4.53631136931627e-17,2.0690064708084677e-58
100,7,0,14.000000000030695,2011691.704074993,36886921340511.44,3.149395153787646e-17,12730825567500.809
100,7,0,25.304349360455774,2011691.704074993,31937470594836.15,3.637466873370246e-17,0.005546787098301679
100,7,0,16.820689655003235,2011691.704074993,34581812534827.32,3.359323378176218e-17,1924859160.8627138
100,7,0,65.58893579088249,2011691.704074993,26007889150325.844,4.466778931441937e-17,7.41139156529704e-58
100,7,0,13.999999999612612,2011691.704074993,36881447192646.25,3.149862604391406e-17,12732715163590.598
100,7,0,1.6439655172539176,2011691.704074993,60498950496142.19,1.920223249415883e-17,5.6009592379893045e+29
100,7,0,45.73528351664288,2011691.704074993,27716232389948.164,4.1914604291629725e-17,8.513818169591152e-31
100,7,0,54.831089476866055,2011691.704074993,26548298245697.28,4.3758545362424836e-17,3.4571586156511188e-43
100,7,0,40.50533590973342,2011691.704074993,29228462673684.35,3.9746014905035366e-17,1.1032385734222295e-23
100,7,0,26.500000000249543,2011691.704074993,28671883729331.42,4.0517565014086964e-17,0.00014440037701149032
100,7,0,13.250000000125326,2011691.704074993,37182631053315.98,3.124348331923449e-17,133251198904219.88
100,7,0,27.156896551724344,2011691.704074993,26375035257296.297,4.404600417579178e-17,1.9933216480257105e-05
100,7,0,28.13577586219526,2011691.704074993,29461197646526.688,3.943203283918391e-17,8.240626870878626e-07
100,7,0,62.980172413774426,2011691.704074993,23751977896822.945,4.8910238891512213e-17,2.9419829292717665e-54
100,7,0,46.22520214031148,2011691.704074993,24731632153503.1,4.697283648200216e-17,2.0472571705672785e-31
100,7,0,25.125000000385285,2011691.704074993,32184242457500.766,3.609576688385848e-17,0.009669382693065026
100,7,0,4.049999999999017,2011691.704074993,45399419085669.92,2.5588761629027476e-17,3.892453223214159e+26
100,7,0,22.825937499649925,2011691.704074993,33289366879437.227,3.4897476941717297e-17,12.809229792425073
100,7,0,55.250000000899064,2011691.704074993,26636003344366.71,4.36144604000893e-17,9.241347886189107e-44
100,7,0,20.43232758614272,2011691.704074993,28698330561855.42,4.0480226213005896e-17,27400.386250471165
100,7,0,66.34314469311448,2011691.704074993,26330441999848.242,4.4120600523387485e-17,6.847340469737916e-59
100,7,0,21.99999999947147,2011691.704074993,26875673232323.797,4.322551859583987e-17,212.49993190523293
100,7,0,31.837931036241912,2011691.704074993,28536856797579.098,4.070928067936625e-17,7.56260703082225e-12
100,7,0,19.99999999808668,2011691.704074993,32201029076419.746,3.6076949911213606e-17,94973.2075629607
100,7,0,48.500000001323315,2011691.704074993,27322993845160.848,4.2517848507486246e-17,1.4595416197258754e-34
100,7,0,53.75595719380783,2011691.704074993,25764651085689.97,4.5089487500366737e-17,1.0437987976896309e-41
100,7,0,62.07531249996589,2011691.704074993,22512603650564.332,5.160286793617525e-17,5.327011979441927e-53
100,8,0,0.49999995248049345,3907067.261618184,229567133482577.28,5.060458330668205e-18,5.369082875217935e+30
100,8,0,1.499999978096639,3907067.261618184,48988451371934.08,2.371405669184074e-17,1.0872757941566794e+30
100,8,0,7.499999923013547,3907067.261618184,34996807347704.203,3.319488265136668e-17,9.91167276979825e+21
100,8,0,41.24999994517668,3907067.261618184,21679397262660.91,5.358612598886157e-17,1.4335941043286134e-24
100,8,0,39.49999997418118,3907067.261618184,15061383850086.92,7.713201686130746e-17,5.038103818432315e-22
100,8,0,39.624999990973265,3907067.261618184,19999863080089.816,5.808614331145266e-17,2.56187478939564e-22
100,8,0,15.624999965413735,3907067.261618184,26856031807733.33,4.325713200656124e-17,106065857375.58655
100,8,0,33.99999993257575,3907067.261618184,20237820870736.297,5.740316215365643e-17,1.1968459235141115e-14
100,8,0,3.5000000034609116,3907067.261618184,38041073615418.945,3.0538436554762683e-17,2.614736459124928e+27
100,8,0,9.50000000025372,3907067.261618184,28560321721083.973,4.0675834271919984e-17,2.2680857707327996e+19
100,8,0,35.49999999948227,3907067.261618184,19779445972391.11,5.873344049682146e-17,1.1000774128526303e-16
100,8,0,28.875000001144144,3907067.261618184,23509521421872.6,4.9414655969929743e-17,1.0124810976643884e-07
100,8,0,51.99999999776173,3907067.261618184,17871331328593.18,6.500438561176727e-17,3.743437855261193e-39
100,8,0,21.9999999945926,3907067.261618184,24280530656607.42,4.7845532270662814e-17,235.21227357351964
100,8,0,74.249999999739,3907067.261618184,17236446872575.795,6.739874648573222e-17,1.7045349622575507e-69
100,8,0,5.500000000771081,3907067.261618184,32894347406262.93,3.5316551464959085e-17,5.646855949737467e+24
