h11,cy_index,axion_index,tau,f_GeV,Lambda2_GeV,mass_eV
4,2,3,7.500000000000002,7047388343476492.0,142454545.59443545,4.922061927288872e+19
4,3,0,4.999999999999996,4.48493047859453e+16,366958706557.48615,1.9923262015590806e+22
4,3,1,4.999999999999996,4.4222010888367304e+16,366958706557.48615,2.020587559265713e+22
4,3,2,4.999999999999996,2.166427241526034e+16,366958706557.48615,4.124507084013886e+22
4,3,3,12.99999999999999,2.15301270238203e+16,4.4627891198104415,504729558479.4096
4,4,0,2.9999999999999973,7.7749746402095e+16,196503325283693.53,6.154175662403199e+24
4,4,1,7.999999999999993,3.30974784662001e+16,29613390.587412324,2.1786737063365102e+18
4,4,2,2.9999999999999973,3.92600148512064e+16,196503325283693.53,1.2187606114751397e+25
4,4,3,4.999999999999996,3.875422864287655e+16,366958706557.48615,2.3056695533836205e+22
4,5,0,2.9999999999999973,6.559184204932751e+16,196503325283693.53,7.294894946020187e+24
4,5,1,2.9999999999999973,6.5320239052241016e+16,196503325283693.53,7.325227280370429e+24
4,5,2,2.9999999999999973,6.499281724578104e+16,196503325283693.53,7.362130422140675e+24
4,5,3,2.9999999999999973,6.459038107146091e+16,196503325283693.53,7.408000837406598e+24
4,6,2,25.49999999999997,1.034184615774694e+16,3.9346122756819026e-17,9.264091483423003e-06
4,6,3,25.49999999999997,1.1137989512612628e+16,3.9346122756819026e-17,8.601894336887446e-06
4,7,0,23.999999999999844,9998380548248144.0,4.379922977480068e-15,0.0010666839893419182
4,7,1,20.5,8428515903462295.0,2.6108607644614923e-10,75.42782186425252
4,7,3,35.499999999999716,5323804971227080.0,8.935902142749448e-31,4.087099703162062e-19
4,8,0,17.49999999999998,1.5482994709046196e+16,3.2352867068716905e-06,508811.3300606993
4,8,1,9.499999999999993,1.6914208621890038e+16,266025.7057691004,3.829754072616941e+16
4,8,2,16.499999999999986,2.768568649497837e+16,7.48667752626331e-05,6584651.523724264
4,8,3,10.499999999999986,7775768126422746.0,11496.013105168517,3600003428081061.0
4,9,0,17.49999999999996,1.6509723814950392e+16,3.2352867068718743e-06,477168.6806837528
4,9,1,12.000000000000014,1.6278850131682072e+16,103.27203130643724,15447491327521.111
4,9,2,37.999999999999886,8742615640948934.0,3.468945841789563e-34,9.6617345102006e-23
4,9,3,20.99999999999997,5008020682430640.0,5.427446296271306e-11,26.389331373540443
5,0,4,42.49999999999991,807866125519997.9,2.5148027539502083e-40,7.579900323122504e-28
5,1,0,22.999999999999964,1.0207450734878832e+16,1.0135445137707513e-13,0.0241782297571978
5,1,1,22.999999999999964,8241360914046515.0,1.0135445137707513e-13,0.029946278494191063
5,1,2,22.999999999999964,9276857737753058.0,1.0135445137707513e-13,0.02660362981517001
5,1,3,16.99999999999996,1.1408010167839144e+16,1.556327352434506e-05,3321926.4774689823
5,1,4,16.99999999999997,4313220105528581.5,1.5563273524344508e-05,8786143.555067817
5,2,0,20.875000000000046,2.0250081583055e+16,8.037899635327533e-11,9.665287288719059
5,2,1,70.37500000000007,7175841327168005.0,2.3362163764492485e-78,7.927553881544647e-67
5,2,2,17.375000000000007,9021955937055756.0,4.7913711940758585e-06,1293177.3263993734
5,2,3,35.50000000000005,3967168555863793.0,8.935902142740052e-31,5.484748482746113e-19
5,2,4,34.87500000000004,3850903280488447.0,6.366102477157577e-30,4.025408690584538e-18
5,3,0,9.99999999999999,1.9350638732598292e+16,55301.31101369352,6958875837596836.0
5,3,1,9.999999999999993,2.2612901170871852e+16,55301.31101369293,5954949844816859.0
5,3,2,8.999999999999996,1.8865956766403772e+16,1279710.6403575852,1.651702825281471e+17
5,3,3,6.9999999999999964,2.770349053127014e+16,685274369.39774,6.0232232743380345e+19
5,3,4,8.999999999999996,1.0110181021096228e+16,1279710.6403575852,3.082136118798047e+17
5,4,0,38.49999999999995,1.1910492517707758e+16,7.211229919748018e-35,1.474275293694221e-23
5,4,1,38.49999999999996,1.2234649782354332e+16,7.211229919747915e-35,1.435214343438869e-23
5,4,2,21.499999999999982,7815867651812886.0,1.1282552367353489e-11,3.5150307347045975
